accel_x,accel_y,accel_z,gesture,gyro_x,gyro_y,gyro_z,rot_w,rot_x,rot_y,rot_z,sample,sensor,stance,timestamp
,,,turn,,,,0.29893458,0.5026685,0.2486751,-0.7720902,8,rotation_vector,travel,0.3728818893432617
2.0620356,-1.9378419,-3.9935107,turn,,,,,,,,8,linear_acceleration,travel,0.3749210834503174
,,,turn,-3.040429,-0.095753126,-0.28160888,,,,,8,gyroscope,travel,0.3749260902404785
-0.09278774,-1.7425003,-1.4578595,turn,,,,,,,,8,linear_acceleration,travel,0.37955307960510254
,,,turn,0.6085745,1.3623822,-0.02076942,,,,,8,gyroscope,travel,0.3795590400695801
,,,turn,,,,0.5782872,0.3431511,0.55995667,-0.48402473,8,rotation_vector,travel,0.3795650005340576
,,,turn,,,,0.2697231,0.0060355957,0.70738024,-0.65331954,8,rotation_vector,travel,0.4640011787414551
-0.9670549,0.5375681,-1.5854244,turn,,,,,,,,8,linear_acceleration,travel,0.47892093658447266
,,,turn,0.8953757,1.485777,-0.074067414,,,,,8,gyroscope,travel,0.4903240203857422
,,,turn,-1.1914927,1.1087204,-1.5986344,,,,,8,gyroscope,travel,0.5178241729736328
,,,turn,,,,0.29861653,0.5103249,0.39153746,-0.7050498,8,rotation_vector,travel,0.553941011428833
1.7338637,-2.7123318,-0.9806539,turn,,,,,,,,8,linear_acceleration,travel,0.5640220642089844
1.4315996,-2.2657871,-0.8510374,turn,,,,,,,,8,linear_acceleration,travel,0.564141035079956
,,,turn,,,,0.28711244,0.52241623,0.39114007,-0.70118266,8,rotation_vector,travel,0.5641710758209229
0.85583496,-1.7899795,-0.10474503,turn,,,,,,,,8,linear_acceleration,travel,0.5641999244689941
,,,turn,1.0600039,1.6074919,-0.24220806,,,,,8,gyroscope,travel,0.5642240047454834
,,,turn,1.1435398,1.704925,-0.38759398,,,,,8,gyroscope,travel,0.5683248043060303
,,,turn,1.1684325,1.691944,-0.5174029,,,,,8,gyroscope,travel,0.5725979804992676
,,,turn,,,,0.20873494,0.5673265,0.3916734,-0.6936587,8,rotation_vector,travel,0.5765399932861328
